topic,condition,session,store_items_per_hat,store_n_hats,store_centroid,store_nn_similarity,store_nn_overlap,store_null_mean,store_null_sd,store_z,store_p,store_centroid_at_2,store_centroid_at_4,store_centroid_at_6,response_items_per_hat,response_n_hats,response_centroid,response_nn_similarity,response_nn_overlap,response_null_mean,response_null_sd,response_z,response_p
dmg,naive,brainstorming-hats_20260916_134310.md,19.0,6,0.01269845167795817,0.9505478898684184,0.7796296296296297,0.02147096181313197,0.0036330139467638453,-2.414664590811172,0.01898101898101898,0.04025545120239258,0.025642247994740804,0.026200405756632485,4.833333333333333,6,0.18116830984751384,0.7236628969510396,0.014814814814814814,0.10996634250879288,0.014517542307928556,4.90454691493029,0.000999000999000999
dmg,bear,brainstorming-hats_20260916_133551.md,7.833333333333333,6,0.11728131771087646,0.7269080559412638,0.03944444444444444,0.07041411312818528,0.006276765681274087,7.466776196937443,0.000999000999000999,0.23455560207366943,0.1580675999323527,0.1325052261352539,4.666666666666667,6,0.14169719616572063,0.7372690041859945,0.03833333333333333,0.10304398761192957,0.012103839586230836,3.193466691161574,0.00999000999000999
dmg,wrong-lens,brainstorming-hats_20260916_135029.md,8.5,6,0.12673941453297932,0.723835829893748,0.07539682539682539,0.06945456461509068,0.006752755898938893,8.483180907944591,0.000999000999000999,0.25381932258605955,0.16100681225458782,0.1394605835278829,4.833333333333333,6,0.16058131059010824,0.7236483971277873,0.025,0.10974877723058066,0.011276151316252035,4.50796836029186,0.000999000999000999
stroke,naive,brainstorming-hats_20260916_140545.md,19.0,6,0.013008701801300048,0.9404830773671468,0.7972222222222222,0.027660137983163198,0.004139998710746086,-3.538995348919506,0.001998001998001998,0.0490626335144043,0.029402907689412436,0.021354091167449952,5.0,6,0.15172940889994305,0.7267008860905965,0.08761904761904762,0.12597416866223016,0.014925686853279607,1.7255648259867997,0.08091908091908091
stroke,bear,brainstorming-hats_20260916_135757.md,11.166666666666666,6,0.10525612831115723,0.7198562860488892,0.03924603174603174,0.06121281263828277,0.005663296816363775,7.776974631739907,0.000999000999000999,0.22239431142807006,0.17217559814453126,0.14852368831634521,5.166666666666667,6,0.1714702844619751,0.6985448082288106,0.012037037037037037,0.11988788520097732,0.011301670750087771,4.564139267691654,0.000999000999000999
stroke,wrong-lens,brainstorming-hats_20260916_141316.md,9.333333333333334,6,0.12102768023808798,0.7171405911445617,0.03033189033189033,0.070985742465655,0.006798961204182244,7.360232875229628,0.000999000999000999,0.2747107148170471,0.1620433489481608,0.1422752857208252,4.833333333333333,6,0.15420010487238567,0.7139077226320902,0.03444444444444444,0.1023714470187823,0.011008517306643106,4.708050721992079,0.000999000999000999
ms,naive,brainstorming-hats_20260916_142829.md,18.0,6,0.007621645927429199,0.9531952500343323,0.8444444444444444,0.024339861186345416,0.003791374776041379,-4.409539084493227,0.002997002997002997,0.07633763154347738,0.046639267603556314,0.025573082764943442,4.833333333333333,6,0.14609944025675456,0.7351846019426982,0.10158730158730159,0.11011225743691125,0.014653071243148023,2.4559481232763,0.01998001998001998
ms,bear,brainstorming-hats_20260916_142035.md,9.5,6,0.10335417588551839,0.7569816907246908,0.13087283087283086,0.07880643980900447,0.008814528621326891,2.784917620792595,0.015984015984015984,0.21502230962117513,0.1149610459804535,0.10170875191688537,5.5,6,0.14557555119196575,0.7181321104367574,0.008333333333333333,0.10006248919566474,0.009065311764592196,5.0205732773657585,0.000999000999000999
ms,wrong-lens,brainstorming-hats_20260916_143548.md,8.833333333333334,6,0.10781153837839762,0.7227927684783936,0.01810966810966811,0.06723878971338272,0.006303402562875833,6.436642473696648,0.000999000999000999,0.2613798181215922,0.1814858873685201,0.14680994351704915,5.0,6,0.17410586675008138,0.7079104463259379,0.0,0.11636487261454263,0.013110610394769916,4.404142324187498,0.000999000999000999
alzheimers,naive,brainstorming-hats_20260916_145054.md,19.0,6,0.012920780976613363,0.9377285997072856,0.749537037037037,0.027522029729684195,0.004375909172083984,-3.3367348769986305,0.004995004995004995,0.08159485260645548,0.05108749469121297,0.0345501184463501,5.0,6,0.18130665222803752,0.7102691094080608,0.02888888888888889,0.11883662401040397,0.013538876627761274,4.61412197889001,0.000999000999000999
alzheimers,bear,brainstorming-hats_20260916_144308.md,9.5,6,0.09887488683064778,0.7288081765174865,0.04343434343434343,0.06179658723672231,0.005555551691821363,6.674098568556297,0.000999000999000999,0.20604293346405028,0.1396071195602417,0.11835307280222575,5.166666666666667,6,0.16771243413289388,0.7180080811182658,0.0175,0.0944606222430865,0.00889969026587025,8.23082710762682,0.000999000999000999
alzheimers,wrong-lens,brainstorming-hats_20260916_145815.md,10.833333333333334,6,0.10206520954767863,0.7140169103940328,0.030099715099715096,0.060282941822210945,0.005635194760700339,7.414520615481798,0.000999000999000999,0.2589626709620158,0.15775321722030639,0.13079103628794353,4.833333333333333,6,0.15661096572875977,0.7091892004013062,0.0,0.11335861066579818,0.01046489195217008,4.133091412758681,0.000999000999000999
epilepsy,naive,brainstorming-hats_20260916_151325.md,19.0,6,0.008786837259928385,0.9489021062850952,0.7999999999999997,0.02428628877401352,0.0037884624457132495,-4.091224800610917,0.000999000999000999,0.06982136170069377,0.03755830526351929,0.025829915205637613,5.0,6,0.13581944306691487,0.7404743234316508,0.04706349206349206,0.09542396455208461,0.009914012266889306,4.074584278026625,0.001998001998001998
epilepsy,bear,brainstorming-hats_20260916_150534.md,12.0,6,0.08853110869725546,0.7455747127532959,0.06513155689626277,0.049101684721310934,0.004960619222113204,7.948488325848108,0.000999000999000999,0.20332373380661012,0.16270325581232706,0.1356552203496297,5.333333333333333,6,0.12918131351470946,0.7408172567685445,0.07083333333333333,0.09731452469428381,0.011060131238260688,2.8812306232124794,0.006993006993006993
epilepsy,wrong-lens,brainstorming-hats_20260916_152043.md,10.5,6,0.10389680067698161,0.7256099820137024,0.06527324527324527,0.05999769439299901,0.005606587922264064,7.829914895235454,0.000999000999000999,0.23346523841222128,0.15467775662740071,0.11817386150360107,5.0,6,0.14571727911631266,0.7493547638257344,0.02888888888888889,0.09679279905954996,0.011556395453142555,4.23354152729851,0.000999000999000999
glp1,naive,brainstorming-hats_20260916_153548.md,19.0,6,0.008444424470265706,0.9542421936988831,0.8240740740740743,0.024081883402665455,0.003713183252157802,-4.2113350918817485,0.000999000999000999,0.07667762041091919,0.03577302694320679,0.019997056325276694,5.0,6,0.13556506633758544,0.7299465696016948,0.03396825396825397,0.09745208330949148,0.009455577912259634,4.030740731212056,0.003996003996003996
glp1,bear,brainstorming-hats_20260916_152801.md,9.0,6,0.11700339714686075,0.7079845309257508,0.03111111111111111,0.07004620016813279,0.006036178568004933,7.779292221013299,0.000999000999000999,0.25805094639460247,0.17263153394063313,0.1531826376914978,5.166666666666667,6,0.15248760382334392,0.7338473955790202,0.02333333333333333,0.11073974970579147,0.012820822361423264,3.256254001550486,0.012987012987012988
glp1,wrong-lens,brainstorming-hats_20260916_154303.md,7.5,6,0.15613460938135784,0.7024294217427571,0.06626984126984127,0.09602160971959432,0.010094611525601318,5.95495918880174,0.000999000999000999,0.29463327328364053,0.2248738646507263,0.17330406308174134,5.0,6,0.22584699392318724,0.661053204536438,0.0,0.13955149821043017,0.019852260022247884,4.3468852219368515,0.000999000999000999
crispr,naive,brainstorming-hats_20260916_155800.md,19.0,6,0.010466853777567545,0.9467554529507954,0.7624999999999998,0.023966969982783,0.00375264056534675,-3.5974978072455017,0.003996003996003996,0.0404244065284729,0.034680036703745525,0.022610620657602946,4.833333333333333,6,0.1471603790918986,0.7246827681859335,0.031746031746031744,0.10170631778240204,0.00941931202158508,4.825624334912686,0.000999000999000999
crispr,bear,brainstorming-hats_20260916_155021.md,9.833333333333334,6,0.09823436737060547,0.7226315379142761,0.04282106782106782,0.065936121237278,0.0063783760946330365,5.063709893260168,0.000999000999000999,0.23899900913238525,0.1536218285560608,0.1335648775100708,5.333333333333333,6,0.1574601928393046,0.7218395431836446,0.00925925925925926,0.1380607272585233,0.020584655530131137,0.9424236199816408,0.3306693306693307
crispr,wrong-lens,brainstorming-hats_20260916_160514.md,10.0,6,0.13700542052586873,0.6849371353785197,0.006730769230769231,0.07139269343217214,0.0069227960766717524,9.477778395754939,0.000999000999000999,0.22928742170333863,0.18646205266316732,0.16824482679367064,4.833333333333333,6,0.14242947498957317,0.7340348680814107,0.0,0.09721868048508962,0.008748545521069922,5.167806968095241,0.000999000999000999
llm-cds,naive,brainstorming-hats_20260916_162005.md,19.0,6,0.010863256454467774,0.9482486208279928,0.7870370370370371,0.021532976794242854,0.0032587930369558375,-3.2741325450179772,0.001998001998001998,0.05295864741007487,0.03271712462107341,0.02313734292984009,5.0,6,0.16082908312479655,0.7159452080726624,0.027777777777777776,0.09937258088588714,0.009146153703250648,6.7193821832522955,0.000999000999000999
llm-cds,bear,brainstorming-hats_20260916_161226.md,11.0,6,0.11343617439270019,0.7003642916679382,0.00648148148148148,0.059060325304667156,0.005289409499655016,10.28013601359084,0.000999000999000999,0.24379118283589682,0.1891233722368876,0.14170780579249065,5.333333333333333,6,0.1472653031349182,0.7312141378720601,0.035648148148148144,0.11965571606556574,0.02148536503499449,1.2850415631469647,0.11988011988011989
llm-cds,wrong-lens,brainstorming-hats_20260916_162721.md,11.833333333333334,6,0.13070199886957803,0.6856057047843933,0.021102971102971102,0.05773045008977254,0.00516805478000738,14.119732062844212,0.000999000999000999,0.29232622385025026,0.2077905575434367,0.17042829195658366,5.0,6,0.16167341470718383,0.699867558479309,0.0,0.10961493009328842,0.009293922981741315,5.601346677411534,0.000999000999000999
